,NASH_up,diff_w4_up,diff_w8_up,diff_w16_up,diff_w32_up,diff_w48_up
386,NA,NA,NA,Dennd2d,Erbb2,NA
387,NA,NA,NA,Depdc1b,Erp27,NA
388,NA,NA,NA,Des,Espl1,NA
389,NA,NA,NA,Dhdds,Esrp1,NA
390,NA,NA,NA,Dhx33,Ets2,NA
391,NA,NA,NA,Diaph3,Evc2,NA
392,NA,NA,NA,Dio3,Evpl,NA
393,NA,NA,NA,Disp1,Ezr,NA
394,NA,NA,NA,Dixdc1,F2r,NA
395,NA,NA,NA,Dkk3,F2rl1,NA
396,NA,NA,NA,Dlgap5,F3,NA
397,NA,NA,NA,Dmbt1,Fabp2,NA
398,NA,NA,NA,Dmrtc2,Fabp4,NA
399,NA,NA,NA,Dnajc5b,Fads3,NA
400,NA,NA,NA,Dnmt3b,Fam101b,NA
401,NA,NA,NA,Dos,Fam107a,NA
402,NA,NA,NA,Dph1,Fam109b,NA
403,NA,NA,NA,Dph5,Fam118a,NA
404,NA,NA,NA,Dpp7,Fam129a,NA
405,NA,NA,NA,Dpysl2,Fam129b,NA
406,NA,NA,NA,Dpysl3,Fam129c,NA
407,NA,NA,NA,Dram1,Fam131b,NA
408,NA,NA,NA,Dtx4,Fam198b,NA
409,NA,NA,NA,Dupd1,Fam26f,NA
410,NA,NA,NA,Dus4l,Fam3c,NA
411,NA,NA,NA,Dusp1,Fam83f,NA
412,NA,NA,NA,Dusp10,Fam84a,NA
413,NA,NA,NA,Dusp16,Fam89a,NA
414,NA,NA,NA,Dusp2,Fas,NA
415,NA,NA,NA,Dusp22,Fat1,NA
416,NA,NA,NA,Dusp3,Fblim1,NA
417,NA,NA,NA,Dusp7,Fbln1,NA
418,NA,NA,NA,Dusp8,Fbln5,NA
419,NA,NA,NA,Dynlt1,Fbn1,NA
420,NA,NA,NA,Dzip1l,Fbxo6,NA
421,NA,NA,NA,Ear11,Fbxw17,NA
422,NA,NA,NA,Ebi3,Fcgbp,NA
423,NA,NA,NA,Ect2,Fchsd1,NA
424,NA,NA,NA,Edn1,Fcmr,NA
425,NA,NA,NA,Ednrb,Fcnb,NA
426,NA,NA,NA,Efcab1,Fermt1,NA
427,NA,NA,NA,Efemp2,Fgd6,NA
428,NA,NA,NA,Efs,Fgf21,NA
429,NA,NA,NA,Egln3,Fgf23,NA
430,NA,NA,NA,Egr1,Fgfr2,NA
431,NA,NA,NA,Egr2,Fhdc1,NA
432,NA,NA,NA,Ehd2,Fhl1,NA
433,NA,NA,NA,Ehd4,Fhl2,NA
434,NA,NA,NA,Eif2b2,Fhl3,NA
435,NA,NA,NA,Eif2b3,Figf,NA
436,NA,NA,NA,Eif4ebp1,Filip1,NA
437,NA,NA,NA,Elavl2,Fjx1,NA
438,NA,NA,NA,Elf3,Fkbp10,NA
439,NA,NA,NA,Eln,Fkbp11,NA
440,NA,NA,NA,Elovl6,Flna,NA
441,NA,NA,NA,Emb,Flnb,NA
442,NA,NA,NA,Emp1,Flnc,NA
443,NA,NA,NA,Emp3,Fmnl1,NA
444,NA,NA,NA,Enc1,Fndc8,NA
445,NA,NA,NA,Eno2,Fntb,NA
446,NA,NA,NA,Enpp4,Fosl1,NA
